"Plant_ID","Species","Treatment","Initial_Height","Temperature","Final_Height","Growth_Rate"
1,"Species_A","Control",4.43788760062307,20,8.08283448141091,3.64494688078784
2,"Species_A","Low_Nutrient",6.94152567721903,25,10.24472221431,3.303196537091
3,"Species_A","High_Nutrient",5.0448846090585,30,12.0022244054018,6.95733979634326
4,"Species_A","Control",7.41508702002466,20,12.3631189232218,4.94803190319713
5,"Species_A","Low_Nutrient",7.70233642146923,25,10.8549687430517,3.15263232158249
6,"Species_A","High_Nutrient",3.22778249694966,30,7.774400294155,4.54661779720534
7,"Species_A","Control",5.64052744023502,20,9.02866699585158,3.38813955561656
8,"Species_A","Low_Nutrient",7.46209522197023,25,10.2324148954835,2.77031967351328
9,"Species_A","High_Nutrient",5.75717507232912,30,14.4545230215296,8.69734794920046
10,"Species_A","Control",5.28307367651723,20,8.24605972203329,2.96298604551606
11,"Species_B","Low_Nutrient",7.78416672674939,25,8.49765341672806,0.713486689978671
12,"Species_B","High_Nutrient",5.26667078095488,30,11.7159023473955,6.4492315664406
13,"Species_B","Control",6.38785317726433,20,8.70028834822511,2.31243517096078
14,"Species_B","Low_Nutrient",5.86316700978205,25,6.46673194323248,0.603564933450436
15,"Species_B","High_Nutrient",3.51462341332808,30,8.1657746821237,4.65115126879562
16,"Species_B","Control",7.49912485200912,20,10.3370506609507,2.8379258089416
17,"Species_B","Low_Nutrient",4.2304386717733,25,4.92899066463182,0.698551992858524
18,"Species_B","High_Nutrient",3.21029766765423,30,7.33365132764084,4.12335365998661
19,"Species_B","Control",4.63960359641351,20,6.70253159892476,2.06292800251125
20,"Species_B","Low_Nutrient",7.77251824573614,25,9.73781243570211,1.96529418996597
21,"Species_C","High_Nutrient",7.44769658031873,30,13.124567458877,5.67687087855826
22,"Species_C","Control",6.464017030783,20,7.25809722001443,0.794080189231435
23,"Species_C","Low_Nutrient",6.20253406884149,25,5.92347685079947,-0.279057218042019
24,"Species_C","High_Nutrient",7.97134888311848,30,13.5258533515614,5.55450446844288
25,"Species_C","Control",6.27852899557911,20,6.59057581471925,0.312046819140138
26,"Species_C","Low_Nutrient",6.54265234083869,25,5.93359275774488,-0.609059583093803
27,"Species_C","High_Nutrient",5.72033012355678,30,9.71212785301363,3.99179772945686
28,"Species_C","Control",5.9707101022359,20,5.81566873463064,-0.15504136760526
29,"Species_C","Low_Nutrient",4.4457986864727,25,5.35244472168305,0.906646035210349
30,"Species_C","High_Nutrient",3.73556823655963,30,7.01421609308882,3.27864785652919
